source,target,error_indices
In our Acadamy we are not allowed to smoke,In our Academy we are not allowed to smoke,[2]
I 'd like you to send the money to this adress ul Taklowa 10,I 'd like you to send the money to this address ul Taklowa 10,[10]
If no what do you sugest,If no what do you sugest,[]
Disapponted,Disappointed,[0]
We appreciated the mordern technology changed my daily life for help every easy and quickly we have time to do many things,We appreciated the modern technology changed my daily life for help every easy and quickly we have time to do many things,[3]
On Wednesday after viseted national Art Gallery we can have a chat about ours next holiday at the free time in the afternoon,On Wednesday after visited national Art Gallery we can have a chat about ours next holiday at the free time in the afternoon,[3]
Nowadays the main attroction in the newspapers and television is private life of famous people,Nowadays the main attraction in the newspapers and television is private life of famous people,[3]
Last week we had another demostration of this,Last week we had another demonstration of this,[5]
Firstly it will introduce latest fashions connecting Millenium,Firstly it will introduce latest fashions connecting Millenium,[]
Whenever I recollet it I feel self confident,Whenever I recollect it I feel self confident,[2]
As you mentioned about the accomodation I would prefer stay in the tents because it 's more exciting and I really love camping,As you mentioned about the accommodation I would prefer stay in the tents because it 's more exciting and I really love camping,[5]
The other one I would choose is basketball becouse I 'm tall and very fast with the ball,The other one I would choose is basketball because I 'm tall and very fast with the ball,[8]
Be you studing a lot,Be you studying a lot,[2]
They are just like alcholics and this people are every day doing shopping because they can not stop themself unless they have not got money for spend,They are just like alcoholics and this people are every day doing shopping because they can not stop themself unless they have not got money for spend,[4]
I realy hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time,I really hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time,[1]
It was awful when he started to laugh and everybody was stearing at us,It was awful when he started to laugh and everybody was staring at us,[11]
Firstly when I went to the show it was writing that the starting time was 19.30 but it started at quarter past eight I had waitted for fourthey five minutes,Firstly when I went to the show it was writing that the starting time was 19.30 but it started at quarter past eight I had waited for fourthey five minutes,[25]
I just knew I could n't have trusted to her but as I went in the house my dad offered pot to stay for meal I was in a schock thinking why is n't anyone getting angry to me after a while we sat for dinner and Pat just talk my parents that I was smoking and when my family heard they got ever so angry,I just knew I could n't have trusted to her but as I went in the house my dad offered pot to stay for meal I was in a shock thinking why is n't anyone getting angry to me after a while we sat for dinner and Pat just talk my parents that I was smoking and when my family heard they got ever so angry,[29]
At first we could n't get any discount although you mention it on your advertisment,At first we could n't get any discount although you mention it on your advertisment,[]
Firstly could you invite stars and artists from more than only six contries,Firstly could you invite stars and artists from more than only six contries,[]
In my opinion it might be better to have time with variety nationallites,In my opinion it might be better to have time with variety nationallites,[]
The rules must be respect for all people if you do n't want get out from scholl,The rules must be respect for all people if you do n't want get out from school,[16]
